m,n,k,throughput
2048,2048,64,11.148
2048,2048,65,9.427
2048,2048,66,11.631
2048,2048,67,9.69
2048,2048,68,11.904
2048,2048,69,10.035
2048,2048,70,11.763
2048,2048,71,10.326
2048,2048,72,12.928
2048,2048,73,10.573
2048,2048,74,12.535
2048,2048,75,10.758
2048,2048,76,13.788
2048,2048,77,11.121
2048,2048,78,13.213
2048,2048,79,11.651
2048,2048,80,14.291
2048,2048,81,11.524
2048,2048,82,13.713
2048,2048,83,11.761
2048,2048,84,14.853
2048,2048,85,11.964
2048,2048,86,14.112
2048,2048,87,12.163
2048,2048,88,15.456
2048,2048,89,11.55
2048,2048,90,14.586
2048,2048,91,11.766
2048,2048,92,16.105
2048,2048,93,11.892
2048,2048,94,15.141
2048,2048,95,12.148
2048,2048,96,16.975
2048,2048,97,13.726
2048,2048,98,16.818
2048,2048,99,13.934
2048,2048,100,17.505
2048,2048,101,14.254
2048,2048,102,17.085
2048,2048,103,14.449
2048,2048,104,18.236
2048,2048,105,14.68
2048,2048,106,17.559
2048,2048,107,14.9
2048,2048,108,18.749
2048,2048,109,15.219
2048,2048,110,18.544
2048,2048,111,15.54
2048,2048,112,19.939
2048,2048,113,15.611
2048,2048,114,18.766
2048,2048,115,15.732
2048,2048,116,19.778
2048,2048,117,16.079
2048,2048,118,19.333
2048,2048,119,16.247
2048,2048,120,20.394
2048,2048,121,15.8
2048,2048,122,19.651
2048,2048,123,16.082
2048,2048,124,20.771
2048,2048,125,16.222
2048,2048,126,20.14
2048,2048,127,16.28
2048,2048,128,22.426
2048,2048,129,7.308
2048,2048,130,20.017
2048,2048,131,7.33
2048,2048,132,20.475
2048,2048,133,7.406
2048,2048,134,20.334
2048,2048,135,7.514
2048,2048,136,21.445
2048,2048,137,7.565
2048,2048,138,21.032
2048,2048,139,7.643
2048,2048,140,21.525
2048,2048,141,7.749
2048,2048,142,21.833
2048,2048,143,7.814
2048,2048,144,22.843
2048,2048,145,7.927
2048,2048,146,21.322
2048,2048,147,8.02
2048,2048,148,22.524
2048,2048,149,8.029
2048,2048,150,21.429
2048,2048,151,8.128
2048,2048,152,22.769
2048,2048,153,8.248
2048,2048,154,21.792
2048,2048,155,8.389
2048,2048,156,22.878
2048,2048,157,8.508
2048,2048,158,21.944
2048,2048,159,8.627
2048,2048,160,26.194
2048,2048,161,8.747
2048,2048,162,22.986
2048,2048,163,8.81
2048,2048,164,24.358
2048,2048,165,8.891
2048,2048,166,24.192
2048,2048,167,9.057
2048,2048,168,25.347
2048,2048,169,9.076
2048,2048,170,24.689
2048,2048,171,9.233
2048,2048,172,25.546
2048,2048,173,9.351
2048,2048,174,24.959
2048,2048,175,9.518
2048,2048,176,27.836
2048,2048,177,9.508
2048,2048,178,25.325
2048,2048,179,9.611
2048,2048,180,26.398
2048,2048,181,9.698
2048,2048,182,25.929
2048,2048,183,9.81
2048,2048,184,27.563
2048,2048,185,9.968
2048,2048,186,26.214
2048,2048,187,10.084
2048,2048,188,27.726
2048,2048,189,10.161
2048,2048,190,26.284
2048,2048,191,10.281
2048,2048,192,31.556
2048,2048,193,10.384
2048,2048,194,27.639
2048,2048,195,10.581
2048,2048,196,29.193
