num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,sdpa,attention_qkv_transform,attention_score,attention_over_value,attention_linear_projection,mlp_h_to_4h,mlp_4h_to_h,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
56,56,4,2048,51200,256,1,1,1,0.311,3.098,0.989,0.94,1.005,4.177,4.036,38.324,0.0173,0.229,0.0001,4.105,0.0174,0.251
56,112,4,2048,51200,256,1,1,1,0.691,12.292,1.754,1.903,2.985,12.861,15.453,79.314,0.0163,0.511,0.0001,14.038,0.0164,0.608
56,168,4,2048,51200,256,1,1,1,1.026,26.678,2.221,2.791,8.798,34.821,35.626,105.894,0.017,0.773,0.0001,35.219,0.0171,0.985
56,224,4,2048,51200,256,1,1,1,4.258,41.632,4.611,3.734,9.577,46.445,48.075,,,,,,,
56,56,4,2048,51200,256,1,1,1,0.31,3.271,0.985,0.939,0.716,4.296,4.198,38.269,0.0174,0.228,0.0001,4.246,0.0175,0.25
56,112,4,2048,51200,256,1,1,1,0.783,12.975,1.727,1.892,3.189,13.183,16.389,80.579,0.015,0.554,0.0001,14.612,0.0152,0.659
56,168,4,2048,51200,256,1,1,1,1.006,29.267,2.894,2.793,9.491,36.935,37.413,106.641,0.0166,0.791,0.0001,37.172,0.0167,1.008
56,224,4,2048,51200,256,1,1,1,4.258,48.548,4.551,3.766,16.682,62.754,60.67,138.149,0.0086,2.121,0.0001,61.695,0.0087,2.847
56,280,4,2048,51200,256,1,1,1,1.659,61.323,4.769,4.047,20.48,68.434,75.382,115.45,0.0178,1.346,0.0001,71.74,0.0179,1.908
56,336,4,2048,51200,256,1,1,1,2.327,78.465,6.744,5.103,38.535,87.044,90.805,134.356,0.0158,1.897,0.0002,88.885,0.016,2.805
56,392,4,2048,51200,256,1,1,1,2.333,89.151,6.376,5.427,52.803,106.906,120.059,147.902,0.0181,2.008,0.0002,113.101,0.0183,3.089
56,448,4,2048,51200,256,1,1,1,8.469,111.545,8.892,7.446,69.374,141.191,135.769,155.568,0.0098,4.405,0.0002,138.427,0.01,6.952
56,504,4,2048,51200,256,1,1,1,2.964,110.608,8.426,8.146,74.001,126.498,151.614,147.236,0.0185,2.723,0.0002,137.922,0.0188,4.461
56,560,4,2048,51200,256,1,1,1,3.192,133.155,10.854,8.266,61.109,120.696,124.077,114.549,0.0201,2.895,0.0003,122.363,0.0204,4.861
56,616,4,2048,51200,256,1,1,1,3.582,119.283,11.804,9.86,74.224,137.575,149.304,122.388,0.0198,3.335,0.0003,143.2,0.0202,5.741
56,672,4,2048,51200,256,1,1,1,10.073,127.535,9.832,11.035,99.02,153.629,157.42,138.858,0.0131,5.692,0.0004,155.501,0.0135,9.915
56,728,4,2048,51200,256,1,1,1,3.941,131.009,13.543,11.561,95.715,138.799,169.827,145.023,0.0208,4.016,0.0005,152.753,0.0213,7.196
56,784,4,2048,51200,256,1,1,1,4.329,111.35,11.01,12.793,100.304,161.025,166.263,119.748,0.0225,4.135,0.0005,163.602,0.023,7.556
56,840,4,2048,51200,256,1,1,1,4.836,145.063,11.587,13.317,105.249,140.965,173.322,127.531,0.0221,4.647,0.0006,155.478,0.0227,8.604
56,896,4,2048,51200,256,1,1,1,16.354,163.707,16.59,14.669,128.652,182.812,165.994,133.157,0.0135,8.335,0.0006,173.997,0.0141,15.425
56,952,4,2048,51200,256,1,1,1,5.103,133.485,15.543,11.136,120.959,153.002,194.002,138.574,0.0237,5.21,0.0007,171.08,0.0244,9.939
56,1008,4,2048,51200,256,1,1,1,6.355,161.896,18.058,12.865,137.217,165.167,180.594,143.628,0.0215,6.254,0.0008,172.537,0.0222,12.026
56,1064,4,2048,51200,256,1,1,1,5.595,136.304,18.071,12.365,84.742,122.342,171.473,137.836,0.0247,5.888,0.001,142.8,0.0258,11.409
56,1120,4,2048,51200,256,1,1,1,19.837,187.041,19.35,13.311,159.319,177.341,168.349,142.349,0.0156,10.079,0.001,172.728,0.0166,19.425
56,1176,4,2048,51200,256,1,1,1,6.226,139.696,18.83,13.61,114.902,94.129,168.079,147.147,0.0251,6.766,0.0015,120.676,0.0266,13.209
