num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,actual_attention_duration,actual_attention_throughput,actual_mlp_duration,actual_mlp_throughput,actual_duration,actual_throughput
24,24,4,2048,51200,256,1,1,1,,,,,,
24,24,4,2048,51200,256,1,1,1,0.0044,0.373,0.0001,0.535,0.0053,0.325
24,48,4,2048,51200,256,1,1,1,0.0047,0.721,0.0001,2.188,0.0049,0.756
24,72,4,2048,51200,256,1,1,1,0.005,1.035,0.0001,4.853,0.006,0.978
24,96,4,2048,51200,256,1,1,1,,,,,,
24,24,4,2048,51200,256,1,1,1,0.0044,0.373,0.0001,0.555,0.0046,0.375
24,48,4,2048,51200,256,1,1,1,0.0047,0.719,0.0001,2.204,0.0049,0.753
24,72,4,2048,51200,256,1,1,1,0.005,1.032,0.0001,4.97,0.0059,0.991
24,96,4,2048,51200,256,1,1,1,0.0011,6.61,0.0001,8.914,0.0012,6.684
24,120,4,2048,51200,256,1,1,1,0.0051,1.762,0.0001,13.757,0.0053,2.067
24,144,4,2048,51200,256,1,1,1,0.0053,2.065,0.0001,20.044,0.0055,2.482
24,168,4,2048,51200,256,1,1,1,0.0051,2.581,0.0001,27.314,0.0053,3.159
24,192,4,2048,51200,256,1,1,1,0.0011,14.496,0.0001,35.738,0.0014,14.896
24,216,4,2048,51200,256,1,1,1,0.0059,2.997,0.0001,43.606,0.0054,4.393
24,240,4,2048,51200,256,1,1,1,0.0047,4.188,0.0001,52.487,0.005,5.475
24,264,4,2048,51200,256,1,1,1,0.0053,4.191,0.0002,49.605,0.0062,5.032
24,288,4,2048,51200,256,1,1,1,0.0011,22.434,0.0002,57.681,0.0015,23.527
24,312,4,2048,51200,256,1,1,1,0.0054,5.083,0.0002,62.106,0.0055,7.276
24,336,4,2048,51200,256,1,1,1,0.0055,5.478,0.0002,68.941,0.0059,7.642
24,360,4,2048,51200,256,1,1,1,0.0052,6.253,0.0002,79.438,0.0056,8.856
24,384,4,2048,51200,256,1,1,1,0.0012,30.071,0.0002,80.343,0.0015,35.5
24,408,4,2048,51200,256,1,1,1,0.0065,5.919,0.0003,81.682,0.0071,8.498
24,432,4,2048,51200,256,1,1,1,0.0059,6.958,0.0003,87.063,0.0054,12.079
24,456,4,2048,51200,256,1,1,1,0.0066,6.752,0.0003,85.001,0.0061,11.666
24,480,4,2048,51200,256,1,1,1,0.0012,38.643,0.0003,103.478,0.0017,46.492
24,504,4,2048,51200,256,1,1,1,0.0067,7.495,0.0003,96.584,0.0072,11.604
24,528,4,2048,51200,256,1,1,1,0.0051,10.562,0.0004,90.269,0.0066,13.616
24,552,4,2048,51200,256,1,1,1,0.0057,9.967,0.0004,105.1,0.0075,12.931
24,576,4,2048,51200,256,1,1,1,0.0013,45.842,0.0005,95.836,0.0019,55.262
24,600,4,2048,51200,256,1,1,1,0.0059,10.783,0.0005,99.649,0.0067,16.476
24,624,4,2048,51200,256,1,1,1,0.0053,12.832,0.0005,105.569,0.0068,17.317
