num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,sdpa,attention_qkv_transform,attention_score,attention_over_value,attention_linear_projection,mlp_h_to_4h,mlp_4h_to_h,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
32,32,1,4096,51200,256,1,1,1,0.377,0.471,1.001,0.931,0.155,0.617,0.449,24.835,0.0086,0.254,0.0001,0.519,0.0087,0.258
32,64,1,4096,51200,256,1,1,1,0.778,1.782,2.351,1.841,0.622,2.475,2.521,41.298,0.0084,0.53,0.0001,2.498,0.0085,0.555
32,96,1,4096,51200,256,1,1,1,0.999,4.229,2.909,2.651,1.418,5.393,5.584,72.686,0.0094,0.715,0.0001,5.487,0.0095,0.77
32,128,1,4096,51200,256,1,1,1,4.038,7.069,4.63,3.671,2.437,7.29,10.001,91.773,0.0049,1.854,0.0001,8.433,0.005,2.02
32,160,1,4096,51200,256,1,1,1,1.659,11.773,4.805,4.393,3.726,15.511,15.033,100.444,0.0096,1.207,0.0001,15.269,0.0097,1.366
32,192,1,4096,51200,256,1,1,1,2.316,17.289,6.862,5.475,3.541,22.553,22.108,118.574,0.0085,1.659,0.0001,22.328,0.0086,1.918
32,224,1,4096,51200,256,1,1,1,2.305,23.249,6.692,6.105,7.715,30.448,29.786,134.364,0.0097,1.723,0.0001,30.113,0.0098,2.039
32,256,1,4096,51200,256,1,1,1,8.059,30.458,9.145,7.263,9.972,40.611,39.476,148.874,0.0051,3.803,0.0001,40.035,0.0052,4.553
32,288,1,4096,51200,256,1,1,1,2.938,38.03,8.533,7.768,12.256,49.597,40.301,113.851,0.0101,2.178,0.0001,44.468,0.0102,2.682
32,320,1,4096,51200,256,1,1,1,3.787,47.304,11.19,9.032,15.285,62.23,54.26,122.636,0.009,2.752,0.0001,57.972,0.0091,3.452
32,352,1,4096,51200,256,1,1,1,3.578,55.486,12.063,9.473,18.125,68.214,61.967,133.114,0.01,2.755,0.0001,64.941,0.0102,3.519
32,384,1,4096,51200,256,1,1,1,12.002,67.01,13.453,10.567,22.913,77.883,69.423,141.044,0.0056,5.491,0.0001,73.41,0.0057,7.058
32,416,1,4096,51200,256,1,1,1,4.209,77.215,14.11,11.162,27.732,92.177,85.608,149.755,0.0101,3.311,0.0001,88.771,0.0103,4.374
32,448,1,4096,51200,256,1,1,1,5.286,76.166,15.385,12.544,32.315,99.767,81.354,158.543,0.0092,3.998,0.0001,89.625,0.0093,5.348
32,480,1,4096,51200,256,1,1,1,4.841,85.585,16.16,12.852,36.721,100.342,100.932,165.065,0.0102,3.883,0.0002,100.636,0.0104,5.28
32,512,1,4096,51200,256,1,1,1,15.96,96.213,17.8,14.416,42.141,112.316,112.434,174.213,0.0057,7.588,0.0002,112.375,0.0058,10.344
32,544,1,4096,51200,256,1,1,1,5.122,103.78,17.279,11.22,48.331,109.499,101.181,141.738,0.0115,4.004,0.0002,105.176,0.0117,5.595
32,576,1,4096,51200,256,1,1,1,6.281,94.024,18.482,12.125,37.519,99.85,107.939,146.872,0.0106,4.673,0.0002,103.737,0.0108,6.594
32,608,1,4096,51200,256,1,1,1,5.69,107.032,19.144,12.466,56.88,129.083,131.779,147.063,0.0117,4.506,0.0002,130.417,0.0119,6.466
32,640,1,4096,51200,256,1,1,1,19.848,117.323,21.833,13.256,62.695,135.191,128.168,157.167,0.0066,8.522,0.0002,131.586,0.0068,12.204
32,672,1,4096,51200,256,1,1,1,6.27,124.085,20.896,13.758,69.8,129.258,140.234,159.123,0.0118,5.065,0.0002,134.523,0.012,7.43
32,704,1,4096,51200,256,1,1,1,7.697,120.74,22.831,15.276,78.929,133.864,154.788,163.902,0.0107,5.948,0.0002,143.567,0.0109,8.805
32,736,1,4096,51200,256,1,1,1,6.818,130.109,22.753,14.963,84.172,148.018,160.957,166.462,0.012,5.6,0.0002,154.216,0.0122,8.399
32,768,1,4096,51200,256,1,1,1,23.758,83.442,25.883,16.669,89.214,149.131,163.017,171.824,0.0068,10.401,0.0002,155.765,0.0071,15.509
32,800,1,4096,51200,256,1,1,1,7.286,146.942,24.266,15.453,87.85,145.636,160.382,154.6,0.0125,5.949,0.0003,152.653,0.0128,9.093
32,832,1,4096,51200,256,1,1,1,9.065,146.002,26.741,17.894,91.11,156.822,168.12,157.86,0.0112,7.04,0.0003,162.275,0.0114,10.836
32,864,1,4096,51200,256,1,1,1,7.724,133.096,26.415,16.588,94.372,167.588,160.086,161.78,0.0128,6.443,0.0003,163.751,0.0131,10.033
32,896,1,4096,51200,256,1,1,1,27.46,140.208,29.927,19.249,97.867,170.336,152.273,169.954,0.0072,12.046,0.0003,160.799,0.0075,18.534
32,928,1,4096,51200,256,1,1,1,8.227,146.772,27.946,17.697,107.281,156.739,181.732,168.382,0.013,6.98,0.0003,168.313,0.0133,11.047
32,960,1,4096,51200,256,1,1,1,10.445,157.461,30.539,20.584,109.1,160.258,120.719,177.599,0.0113,8.398,0.0004,137.706,0.0117,13.242
32,992,1,4096,51200,256,1,1,1,8.87,167.343,29.552,18.862,116.159,170.396,197.973,177.258,0.013,7.626,0.0004,183.152,0.0133,12.27
32,1024,1,4096,51200,256,1,1,1,30.909,166.989,34.25,22.2,125.437,177.845,205.994,174.128,0.0075,13.811,0.0004,190.887,0.0078,21.959
32,1056,1,4096,51200,256,1,1,1,9.226,163.401,29.486,21.279,109.587,185.336,159.65,146.808,0.0138,7.774,0.0004,171.537,0.0142,12.673
32,1088,1,4096,51200,256,1,1,1,11.347,169.453,32.346,22.534,102.812,182.519,129.764,155.965,0.0124,9.034,0.0005,151.685,0.0129,14.696
32,1120,1,4096,51200,256,1,1,1,9.611,174.21,30.861,22.585,115.513,170.077,162.544,153.871,0.014,8.292,0.0005,166.225,0.0145,13.673
32,1152,1,4096,51200,256,1,1,1,33.683,173.373,38.118,24.39,112.589,163.582,155.888,153.978,0.0083,14.524,0.0005,159.642,0.0089,23.446
32,1184,1,4096,51200,256,1,1,1,10.047,175.847,33.061,23.882,115.86,182.055,181.221,161.892,0.0141,8.87,0.0005,181.637,0.0146,14.838
32,1216,1,4096,51200,256,1,1,1,12.632,107.641,36.274,25.144,126.972,186.242,184.708,162.748,0.0128,10.181,0.0005,185.472,0.0133,17.069
32,1248,1,4096,51200,256,1,1,1,10.443,169.578,34.086,25.072,132.246,193.114,184.433,160.486,0.0145,9.294,0.0005,188.674,0.015,15.745
32,1280,1,4096,51200,256,1,1,1,37.005,173.05,41.565,28.104,136.901,198.02,176.742,156.716,0.0086,16.157,0.0006,186.777,0.0092,26.802
32,1312,1,4096,51200,256,1,1,1,10.965,190.249,35.694,26.017,130.278,202.604,166.524,137.349,0.0153,9.446,0.0006,182.801,0.0159,16.17
32,1344,1,4096,51200,256,1,1,1,13.899,189.776,39.613,27.705,129.123,194.04,157.689,139.109,0.0137,10.939,0.0007,173.986,0.0143,18.677
32,1376,1,4096,51200,256,1,1,1,11.345,194.205,37.585,27.281,124.723,183.839,170.296,140.432,0.0155,9.939,0.0007,176.809,0.0162,17.152
