num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,actual_attention_duration,actual_attention_throughput,actual_mlp_duration,actual_mlp_throughput,actual_duration,actual_throughput
32,32,1,4096,51200,256,1,1,1,0.0059,0.371,0.0001,0.468,0.006,0.373
32,64,1,4096,51200,256,1,1,1,0.0062,0.718,0.0001,1.92,0.0063,0.742
32,96,1,4096,51200,256,1,1,1,0.0066,1.023,0.0001,4.183,0.0068,1.085
32,128,1,4096,51200,256,1,1,1,0.0013,7.267,0.0001,7.592,0.0014,7.081
32,160,1,4096,51200,256,1,1,1,0.0066,1.746,0.0001,11.722,0.0068,1.943
32,192,1,4096,51200,256,1,1,1,0.0062,2.283,0.0001,19.186,0.0064,2.586
32,224,1,4096,51200,256,1,1,1,0.0067,2.499,0.0001,22.874,0.0069,2.903
32,256,1,4096,51200,256,1,1,1,0.0013,15.304,0.0001,30.144,0.0015,15.8
32,288,1,4096,51200,256,1,1,1,0.0067,3.291,0.0001,37.211,0.007,3.945
32,320,1,4096,51200,256,1,1,1,0.0062,4.003,0.0001,46.785,0.0065,4.883
32,352,1,4096,51200,256,1,1,1,0.0067,4.112,0.0002,52.592,0.007,5.111
32,384,1,4096,51200,256,1,1,1,0.0013,23.602,0.0002,58.497,0.0017,24.059
32,416,1,4096,51200,256,1,1,1,0.0068,4.959,0.0001,79.645,0.007,6.377
32,448,1,4096,51200,256,1,1,1,0.0062,5.909,0.0002,74.464,0.0065,7.65
32,480,1,4096,51200,256,1,1,1,0.0068,5.827,0.0002,81.46,0.0072,7.579
32,512,1,4096,51200,256,1,1,1,0.0013,32.702,0.0002,90.458,0.0017,35.099
32,544,1,4096,51200,256,1,1,1,0.0073,6.365,0.0002,85.004,0.0078,8.439
32,576,1,4096,51200,256,1,1,1,0.0066,7.454,0.0002,89.229,0.007,10.164
32,608,1,4096,51200,256,1,1,1,0.0073,7.232,0.0002,106.856,0.0078,9.871
32,640,1,4096,51200,256,1,1,1,0.0014,41.685,0.0002,113.245,0.0018,45.481
32,672,1,4096,51200,256,1,1,1,0.0073,8.173,0.0003,112.477,0.0079,11.286
32,704,1,4096,51200,256,1,1,1,0.0067,9.491,0.0003,121.815,0.0073,13.221
32,736,1,4096,51200,256,1,1,1,0.0076,8.867,0.0003,125.143,0.008,12.857
32,768,1,4096,51200,256,1,1,1,0.0013,52.572,0.0003,141.034,0.0019,57.733
32,800,1,4096,51200,256,1,1,1,0.0077,9.66,0.0003,131.466,0.0082,14.187
32,832,1,4096,51200,256,1,1,1,0.0069,11.349,0.0003,145.701,0.0075,16.538
32,864,1,4096,51200,256,1,1,1,0.0076,10.828,0.0004,118.353,0.0084,15.684
32,896,1,4096,51200,256,1,1,1,0.0014,59.819,0.0004,130.879,0.0021,66.658
32,928,1,4096,51200,256,1,1,1,0.0079,11.449,0.0004,144.448,0.0086,17.139
32,960,1,4096,51200,256,1,1,1,0.0069,13.778,0.0005,125.641,0.0077,20.095
32,992,1,4096,51200,256,1,1,1,0.0079,12.548,0.0005,139.447,0.0087,18.688
32,1024,1,4096,51200,256,1,1,1,0.0015,70.237,0.0004,168.496,0.0022,79.097
32,1056,1,4096,51200,256,1,1,1,0.008,13.369,0.0005,151.17,0.009,20.166
32,1088,1,4096,51200,256,1,1,1,0.0073,15.373,0.0006,138.275,0.008,23.554
32,1120,1,4096,51200,256,1,1,1,0.0082,14.236,0.0007,122.714,0.0091,21.883
32,1152,1,4096,51200,256,1,1,1,0.0016,76.659,0.0007,118.518,0.0027,77.373
32,1184,1,4096,51200,256,1,1,1,0.0084,14.847,0.0007,126.951,0.0093,23.462
32,1216,1,4096,51200,256,1,1,1,0.0071,18.389,0.0008,125.304,0.0081,27.982
32,1248,1,4096,51200,256,1,1,1,0.0083,16.202,0.0008,130.715,0.0095,24.883
32,1280,1,4096,51200,256,1,1,1,0.0016,86.322,0.0006,168.087,0.0027,90.73
32,1312,1,4096,51200,256,1,1,1,0.0084,17.147,0.0009,129.18,0.0097,26.421
32,1344,1,4096,51200,256,1,1,1,0.0072,20.727,0.0009,129.022,0.0084,31.837
32,1376,1,4096,51200,256,1,1,1,0.0085,18.069,0.001,129.362,0.0099,28.228
